"longitude","latitude","height"
"-122.37436","37.61689","-27.29"
"-122.37402","37.61674","-27.29"
"-122.37362","37.61657","-27.29"
"-122.3732","37.6164","-27.29"
"-122.37235","37.61604","-27.29"
"-122.37198","37.61588","-27.29"
"-122.3716","37.61573","-27.28"
"-122.3712","37.61555","-27.28"
"-122.37032","37.61518","-27.28"
"-122.36938","37.61476","-27.28"
"-122.36872","37.6143","-27.28"
"-122.36811","37.61387","-27.28"
"-122.36747","37.61352","-27.28"
"-122.36672","37.61321","-27.28"
"-122.36602","37.61292","-27.28"
"-122.3655","37.61269","-27.28"
"-122.36498","37.61247","-27.27"
"-122.3639","37.61203","-27.27"
"-122.36337","37.6118","-27.27"
"-122.36254","37.61146","-27.27"
"-122.36203","37.61124","-27.27"
"-122.36154","37.61103","-27.27"
"-122.36106","37.61082","-27.27"
"-122.36029","37.61052","-27.27"
"-122.35989","37.61048","-27.27"
"-122.35953","37.61055","-27.27"
"-122.35922","37.61074","-27.26"
"-122.35893","37.61117","-27.26"
"-122.35875","37.61144","-27.26"
"-122.35865","37.61171","-27.26"
"-122.35889","37.612","-27.26"
"-122.35923","37.61211","-27.26"
"-122.35954","37.61222","-27.26"
"-122.36029","37.61253","-27.27"
"-122.36184","37.61317","-27.27"
"-122.36823","37.61588","-27.28"
"-122.37163","37.61728","-27.28"
"-122.38041","37.62096","-27.3"
"-122.38548","37.6231","-27.31"
"-122.3905","37.6252","10.79"
"-122.39517","37.62721","56.5"
"-122.40037","37.62955","125.07"
"-122.40507","37.63171","186.03"
"-122.41457","37.63623","292.69"
"-122.42428","37.64062","384.12"
"-122.42896","37.64261","429.83"
"-122.43398","37.6447","483.17"
"-122.44357","37.64859","582.21"
"-122.45319","37.65243","643.16"
"-122.4639","37.65678","719.35"
"-122.47395","37.66081","803.15"
"-122.47922","37.66286","841.25"
"-122.48441","37.66489","879.34"
"-122.49505","37.66933","970.77"
"-122.5003","37.67162","993.62"
"-122.51083","37.67647","1024.08"
"-122.51626","37.67999","1039.31"
"-122.52048","37.68431","1046.93"
"-122.52323","37.68939","1069.79"
"-122.52456","37.69482","1092.65"
"-122.5255","37.70298","1115.52"
"-122.52602","37.70943","1138.38"
"-122.52634","37.71574","1161.25"
"-122.51643","37.73744","1245.12"
"-122.50723","37.74465","1283.25"
"-122.50024","37.74957","1313.75"
"-122.4864","37.75959","1397.6"
"-122.47231","37.77008","1504.31"
"-122.45805","37.78079","1626.25"
"-122.44339","37.79173","1755.82"
"-122.42878","37.80263","1893.01"
"-122.41031","37.81632","2045.44"
"-122.39535","37.82744","2175"
"-122.3808","37.8382","2304.56"
"-122.36244","37.85177","2472.23"
"-122.34698","37.86317","2601.79"
"-122.33206","37.87422","2716.11"
"-122.31736","37.88505","2830.42"
"-122.29758","37.89967","2982.85"
"-122.28344","37.91011","3089.54"
"-122.2672","37.9221","3142.9"
"-122.25107","37.93401","3196.25"
"-122.235","37.94586","3241.98"
"-122.21102","37.96354","3318.19"
"-122.19532","37.97507","3386.77"
"-122.17095","37.99296","3523.94"
"-122.15459","38.00497","3630.63"
"-122.10188","38.04364","3927.88"
"-122.05068","38.08113","4247.98"
"-121.99834","38.11944","4552.84"
"-121.94544","38.15803","4842.46"
"-121.89173","38.19722","5116.83"
"-121.83744","38.23672","5368.34"
"-121.78076","38.27786","5619.88"
"-121.67054","38.35774","6001.09"
"-121.56262","38.4366","6488.97"
"-121.46884","38.52786","6984.57"
"-121.37305","38.62742","7442.27"
"-121.27969","38.72305","7869.52"
"-121.18384","38.82103","8114.16"
"-121.0849","38.92167","8419.92"
"-120.98819","39.01978","8664.74"
"-120.88629","39.12269","8917.28"
"-120.77951","39.23016","9108.83"
"-120.67163","39.33836","9376.26"
"-120.5672","39.44264","9612.99"
"-120.4577","39.55152","9910.45"
"-120.35071","39.65748","10040.03"
"-120.24274","39.76404","10040.03"
"-120.12367","39.86746","10040.02"
